location,group,year,people,total_gross_pay,pay_per_person,people_index,pay_index,pay_per_person_index,cpi_w_ca_index,local_cpi_index
UC systemwide,Lecturers (Unit 18),2021,7009,234140942,33406,100.0,100.0,100.0,100.0,
UC systemwide,Lecturers (Unit 18),2022,9347,272801341,29186,133.4,116.5,87.4,107.6,
UC systemwide,Lecturers (Unit 18),2023,6901,268334600,38883,98.5,114.6,116.4,111.3,
UC systemwide,Lecturers (Unit 18),2024,7215,288912307,40043,102.9,123.4,119.9,114.6,
UC systemwide,Lecturers (Unit 18),2025,7071,293694902,41535,100.9,125.4,124.3,118.2,
UC systemwide,Teaching professors,2021,485,67311371,138786,100.0,100.0,100.0,100.0,
UC systemwide,Teaching professors,2022,519,75305169,145097,107.0,111.9,104.5,107.6,
UC systemwide,Teaching professors,2023,567,87327654,154017,116.9,129.7,111.0,111.3,
UC systemwide,Teaching professors,2024,644,102731311,159521,132.8,152.6,114.9,114.6,
UC systemwide,Teaching professors,2025,700,118562505,169375,144.3,176.1,122.0,118.2,
UC systemwide,Senate faculty,2021,13300,3072641898,231026,100.0,100.0,100.0,100.0,
UC systemwide,Senate faculty,2022,13338,3213714617,240944,100.3,104.6,104.3,107.6,
UC systemwide,Senate faculty,2023,13613,3456768191,253931,102.4,112.5,109.9,111.3,
UC systemwide,Senate faculty,2024,13769,3705934247,269151,103.5,120.6,116.5,114.6,
UC systemwide,Senate faculty,2025,13893,3916630542,281914,104.5,127.5,122.0,118.2,
UC systemwide,All admin,2021,6010,988782613,164523,100.0,100.0,100.0,100.0,
UC systemwide,All admin,2022,5950,997678710,167677,99.0,100.9,101.9,107.6,
UC systemwide,All admin,2023,6178,1088900088,176254,102.8,110.1,107.1,111.3,
UC systemwide,All admin,2024,6207,1165815010,187823,103.3,117.9,114.2,114.6,
UC systemwide,All admin,2025,6277,1256115552,200114,104.4,127.0,121.6,118.2,
Berkeley,Lecturers (Unit 18),2021,1753,50839108,29001,100.0,100.0,100.0,100.0,
Berkeley,Lecturers (Unit 18),2022,2411,66108398,27419,137.5,130.0,94.5,107.6,
Berkeley,Lecturers (Unit 18),2023,1746,61764835,35375,99.6,121.5,122.0,111.3,
Berkeley,Lecturers (Unit 18),2024,1963,67065861,34165,112.0,131.9,117.8,114.6,
Berkeley,Lecturers (Unit 18),2025,1889,67327950,35642,107.8,132.4,122.9,118.2,
Berkeley,Teaching professors,2021,34,6551138,192681,100.0,100.0,100.0,100.0,
Berkeley,Teaching professors,2022,43,8484215,197307,126.5,129.5,102.4,107.6,
Berkeley,Teaching professors,2023,46,9252645,201144,135.3,141.2,104.4,111.3,
Berkeley,Teaching professors,2024,52,10440794,200784,152.9,159.4,104.2,114.6,
Berkeley,Teaching professors,2025,53,11788126,222417,155.9,179.9,115.4,118.2,
Berkeley,Senate faculty,2021,1496,315266951,210740,100.0,100.0,100.0,100.0,
Berkeley,Senate faculty,2022,1472,320499040,217730,98.4,101.7,103.3,107.6,
Berkeley,Senate faculty,2023,1502,343299577,228562,100.4,108.9,108.5,111.3,
Berkeley,Senate faculty,2024,1526,371719761,243591,102.0,117.9,115.6,114.6,
Berkeley,Senate faculty,2025,1552,391511369,252262,103.7,124.2,119.7,118.2,
Berkeley,All admin,2021,619,102282258,165238,100.0,100.0,100.0,100.0,
Berkeley,All admin,2022,645,110388227,171145,104.2,107.9,103.6,107.6,
Berkeley,All admin,2023,654,122132399,186747,105.7,119.4,113.0,111.3,
Berkeley,All admin,2024,674,130098050,193024,108.9,127.2,116.8,114.6,
Berkeley,All admin,2025,692,136110627,196692,111.8,133.1,119.0,118.2,
Davis,Lecturers (Unit 18),2021,693,26816170,38696,100.0,100.0,100.0,100.0,
Davis,Lecturers (Unit 18),2022,907,29900663,32967,130.9,111.5,85.2,107.6,
Davis,Lecturers (Unit 18),2023,682,32347430,47430,98.4,120.6,122.6,111.3,
Davis,Lecturers (Unit 18),2024,642,32915011,51269,92.6,122.7,132.5,114.6,
Davis,Lecturers (Unit 18),2025,646,33073672,51198,93.2,123.3,132.3,118.2,
Davis,Teaching professors,2021,54,6509423,120545,100.0,100.0,100.0,100.0,
Davis,Teaching professors,2022,55,7213003,131146,101.9,110.8,108.8,107.6,
Davis,Teaching professors,2023,60,8360031,139334,111.1,128.4,115.6,111.3,
Davis,Teaching professors,2024,63,9469066,150303,116.7,145.5,124.7,114.6,
Davis,Teaching professors,2025,69,10784397,156296,127.8,165.7,129.7,118.2,
Davis,Senate faculty,2021,1979,414377141,209387,100.0,100.0,100.0,100.0,
Davis,Senate faculty,2022,1972,434939876,220558,99.6,105.0,105.3,107.6,
Davis,Senate faculty,2023,1992,467856634,234868,100.7,112.9,112.2,111.3,
Davis,Senate faculty,2024,2025,496257807,245066,102.3,119.8,117.0,114.6,
Davis,Senate faculty,2025,2000,514085194,257043,101.1,124.1,122.8,118.2,
Davis,All admin,2021,699,104177070,149037,100.0,100.0,100.0,100.0,
Davis,All admin,2022,731,111817060,152965,104.6,107.3,102.6,107.6,
Davis,All admin,2023,788,128744959,163382,112.7,123.6,109.6,111.3,
Davis,All admin,2024,811,140588519,173352,116.0,135.0,116.3,114.6,
Davis,All admin,2025,827,147689395,178585,118.3,141.8,119.8,118.2,
Irvine,Lecturers (Unit 18),2021,748,20149970,26938,100.0,100.0,100.0,100.0,
Irvine,Lecturers (Unit 18),2022,1018,24925758,24485,136.1,123.7,90.9,107.6,
Irvine,Lecturers (Unit 18),2023,659,21982993,33358,88.1,109.1,123.8,111.3,
Irvine,Lecturers (Unit 18),2024,763,25110549,32910,102.0,124.6,122.2,114.6,
Irvine,Lecturers (Unit 18),2025,730,24230358,33192,97.6,120.3,123.2,118.2,
Irvine,Teaching professors,2021,101,15280640,151293,100.0,100.0,100.0,100.0,
Irvine,Teaching professors,2022,104,16040071,154231,103.0,105.0,101.9,107.6,
Irvine,Teaching professors,2023,107,18321015,171224,105.9,119.9,113.2,111.3,
Irvine,Teaching professors,2024,112,19822673,176988,110.9,129.7,117.0,114.6,
Irvine,Teaching professors,2025,112,21142762,188775,110.9,138.4,124.8,118.2,
Irvine,Senate faculty,2021,1434,308278395,214978,100.0,100.0,100.0,100.0,
Irvine,Senate faculty,2022,1454,327569345,225288,101.4,106.3,104.8,107.6,
Irvine,Senate faculty,2023,1459,349964022,239866,101.7,113.5,111.6,111.3,
Irvine,Senate faculty,2024,1480,372721240,251839,103.2,120.9,117.1,114.6,
Irvine,Senate faculty,2025,1487,395698030,266105,103.7,128.4,123.8,118.2,
Irvine,All admin,2021,512,87111215,170139,100.0,100.0,100.0,100.0,
Irvine,All admin,2022,528,91398993,173104,103.1,104.9,101.7,107.6,
Irvine,All admin,2023,534,96070091,179907,104.3,110.3,105.7,111.3,
Irvine,All admin,2024,557,102818299,184593,108.8,118.0,108.5,114.6,
Irvine,All admin,2025,573,113949938,198866,111.9,130.8,116.9,118.2,
Los Angeles,Lecturers (Unit 18),2021,1642,53856724,32799,100.0,100.0,100.0,100.0,
Los Angeles,Lecturers (Unit 18),2022,2162,56887333,26312,131.7,105.6,80.2,107.6,
Los Angeles,Lecturers (Unit 18),2023,1542,54656471,35445,93.9,101.5,108.1,111.3,
Los Angeles,Lecturers (Unit 18),2024,1561,59265214,37966,95.1,110.0,115.8,114.6,
Los Angeles,Lecturers (Unit 18),2025,1548,60105401,38828,94.3,111.6,118.4,118.2,
Los Angeles,Teaching professors,2021,13,1708685,131437,100.0,100.0,100.0,100.0,
Los Angeles,Teaching professors,2022,13,1803506,138731,100.0,105.5,105.5,107.6,
Los Angeles,Teaching professors,2023,12,1775134,147928,92.3,103.9,112.5,111.3,
Los Angeles,Teaching professors,2024,20,2896883,144844,153.8,169.5,110.2,114.6,
Los Angeles,Teaching professors,2025,29,4428795,152717,223.1,259.2,116.2,118.2,
Los Angeles,Senate faculty,2021,2342,645136252,275464,100.0,100.0,100.0,100.0,
Los Angeles,Senate faculty,2022,2336,668005882,285961,99.7,103.5,103.8,107.6,
Los Angeles,Senate faculty,2023,2396,716801678,299166,102.3,111.1,108.6,111.3,
Los Angeles,Senate faculty,2024,2391,765495350,320157,102.1,118.7,116.2,114.6,
Los Angeles,Senate faculty,2025,2418,804378055,332663,103.2,124.7,120.8,118.2,
Los Angeles,All admin,2021,1345,226563372,168449,100.0,100.0,100.0,100.0,
Los Angeles,All admin,2022,1086,189733535,174709,80.7,83.7,103.7,107.6,
Los Angeles,All admin,2023,1126,190859055,169502,83.7,84.2,100.6,111.3,
Los Angeles,All admin,2024,946,190149477,201004,70.3,83.9,119.3,114.6,
Los Angeles,All admin,2025,935,206564851,220925,69.5,91.2,131.2,118.2,
Merced,Lecturers (Unit 18),2021,227,10663600,46976,100.0,100.0,100.0,100.0,
Merced,Lecturers (Unit 18),2022,320,12453756,38918,141.0,116.8,82.8,107.6,
Merced,Lecturers (Unit 18),2023,235,11173177,47545,103.5,104.8,101.2,111.3,
Merced,Lecturers (Unit 18),2024,217,10933140,50383,95.6,102.5,107.3,114.6,
Merced,Lecturers (Unit 18),2025,239,10908214,45641,105.3,102.3,97.2,118.2,
Merced,Teaching professors,2021,25,2915040,116602,100.0,100.0,100.0,100.0,
Merced,Teaching professors,2022,28,3363324,120119,112.0,115.4,103.0,107.6,
Merced,Teaching professors,2023,34,4360144,128240,136.0,149.6,110.0,111.3,
Merced,Teaching professors,2024,43,5372581,124944,172.0,184.3,107.2,114.6,
Merced,Teaching professors,2025,49,6960074,142042,196.0,238.8,121.8,118.2,
Merced,Senate faculty,2021,307,44245181,144121,100.0,100.0,100.0,100.0,
Merced,Senate faculty,2022,306,45359428,148233,99.7,102.5,102.9,107.6,
Merced,Senate faculty,2023,299,46310372,154884,97.4,104.7,107.5,111.3,
Merced,Senate faculty,2024,294,50210020,170782,95.8,113.5,118.5,114.6,
Merced,Senate faculty,2025,302,52278771,173109,98.4,118.2,120.1,118.2,
Merced,All admin,2021,157,21086312,134308,100.0,100.0,100.0,100.0,
Merced,All admin,2022,164,22808293,139075,104.5,108.2,103.5,107.6,
Merced,All admin,2023,161,24833054,154243,102.5,117.8,114.8,111.3,
Merced,All admin,2024,163,26194462,160702,103.8,124.2,119.7,114.6,
Merced,All admin,2025,162,28195918,174049,103.2,133.7,129.6,118.2,
Riverside,Lecturers (Unit 18),2021,406,13346515,32873,100.0,100.0,100.0,100.0,
Riverside,Lecturers (Unit 18),2022,592,16265964,27476,145.8,121.9,83.6,107.6,
Riverside,Lecturers (Unit 18),2023,325,14805672,45556,80.0,110.9,138.6,111.3,
Riverside,Lecturers (Unit 18),2024,400,17070148,42675,98.5,127.9,129.8,114.6,
Riverside,Lecturers (Unit 18),2025,406,17760858,43746,100.0,133.1,133.1,118.2,
Riverside,Teaching professors,2021,42,4830023,115001,100.0,100.0,100.0,100.0,
Riverside,Teaching professors,2022,51,5781159,113356,121.4,119.7,98.6,107.6,
Riverside,Teaching professors,2023,56,6911264,123415,133.3,143.1,107.3,111.3,
Riverside,Teaching professors,2024,69,8391636,121618,164.3,173.7,105.8,114.6,
Riverside,Teaching professors,2025,79,10311866,130530,188.1,213.5,113.5,118.2,
Riverside,Senate faculty,2021,829,132164414,159426,100.0,100.0,100.0,100.0,
Riverside,Senate faculty,2022,831,136098005,163776,100.2,103.0,102.7,107.6,
Riverside,Senate faculty,2023,822,141753631,172450,99.2,107.3,108.2,111.3,
Riverside,Senate faculty,2024,850,152906708,179890,102.5,115.7,112.8,114.6,
Riverside,Senate faculty,2025,871,166411323,191058,105.1,125.9,119.8,118.2,
Riverside,All admin,2021,250,34954472,139818,100.0,100.0,100.0,100.0,
Riverside,All admin,2022,275,39412708,143319,110.0,112.8,102.5,107.6,
Riverside,All admin,2023,295,45051683,152718,118.0,128.9,109.2,111.3,
Riverside,All admin,2024,316,50581023,160067,126.4,144.7,114.5,114.6,
Riverside,All admin,2025,319,53533255,167816,127.6,153.2,120.0,118.2,
San Diego,Lecturers (Unit 18),2021,565,22344459,39548,100.0,100.0,100.0,100.0,
San Diego,Lecturers (Unit 18),2022,771,26385469,34222,136.5,118.1,86.5,107.6,
San Diego,Lecturers (Unit 18),2023,642,28971195,45126,113.6,129.7,114.1,111.3,
San Diego,Lecturers (Unit 18),2024,622,31543268,50713,110.1,141.2,128.2,114.6,
San Diego,Lecturers (Unit 18),2025,634,33593031,52986,112.2,150.3,134.0,118.2,
San Diego,Teaching professors,2021,117,15734565,134483,100.0,100.0,100.0,100.0,
San Diego,Teaching professors,2022,127,18353586,144516,108.5,116.6,107.5,107.6,
