location,year,as_of_month,lecturer_fte,source
UC systemwide,2021,April,2483.1,"UC employee FTE dashboard (EmployeeFTE_0/FTE crosstab export), Faculty - Lecturers, fetched 2026-09-02"
UC systemwide,2022,April,2621.6,"UC employee FTE dashboard (EmployeeFTE_0/FTE crosstab export), Faculty - Lecturers, fetched 2026-09-02"
UC systemwide,2023,April,2541.5,"UC employee FTE dashboard (EmployeeFTE_0/FTE crosstab export), Faculty - Lecturers, fetched 2026-09-02"
UC systemwide,2024,April,2610.1,"UC employee FTE dashboard (EmployeeFTE_0/FTE crosstab export), Faculty - Lecturers, fetched 2026-09-02"
UC systemwide,2025,April,2578.1,"UC employee FTE dashboard (EmployeeFTE_0/FTE crosstab export), Faculty - Lecturers, fetched 2026-09-02"
UC systemwide,2026,April,2445.3,"UC employee FTE dashboard (EmployeeFTE_0/FTE crosstab export), Faculty - Lecturers, fetched 2026-09-02"
