"","Title","count","Category"
"549","BLANK AST 2 PD","59","Staff"
"585","BUS INTEL SPEC 3","59","Staff"
"1420","FINANCIAL ANL MGR 2","59","Staff"
"2130","MUSEUM SCI SR","59","Staff"
"3515","WRITER EDITOR 4","59","Staff"
"374","ASST ADJ PROF-FY","59","Non-Senate"
"2015","MED CTR ENVIR SVC WORKER 1","59","Med Center"
"2898","RESP CARE PRACT TCHN","59",""
"3175","STDT PEER CNSLR WKSTY","59",""
"3253","SURGICAL TCHN PD","59",""
"1054","DATA SYS ANL 2","58","Staff"
"1500","FUNDRAISING MGR 2","58","Staff"
"1713","INFO SYS MGR 2","58","Staff"
"103","ADJ PROF-FY","58","Non-Senate"
"300","ASSOC ADJ PROF-AY","58","Non-Senate"
"381","ASST COOP EXT ADVISOR","58",""
"1004","CTRL SVC TCHN 2","58",""
"1244","EMERGENCY TRAUMA TCHN","58",""
"2307","PAT NAVGTR NON-CLIN 3","58",""
"1475","FOOD SVC MGR 1","57","Staff"
"1775","IT ARCHITECT 5","57","Staff"
"1784","IT SCRTY ANL 4","57","Staff"
"1936","MAIL PROCESSOR SR","57","Staff"
"2979","SCENE TCHN SR","57","Staff"
"818","CLIN RSCH ANL 4","57","Med Center"
"1403","FIN ANL SR","57",""
"2724","RAD THER TCHNO SR","57",""
"2734","RADLG SVC SUPV 2","57",""
"380","ASST CLIN PROF-VOL","56","Non-Senate"
"829","CLIN RSCH SUPV 2","56","Med Center"
"2034","MED CTR STOREKEEPER","56","Med Center"
"1683","HVAC MECH","56",""
"2339","PAT TRANSPORT TCHN 2","56",""
"2974","SCENE TCHN","56",""
"1139","DIGITAL COMM SPEC 4","55","Staff"
"1217","ELECTR TCHN PRN","55","Staff"
"1262","EMPLOYMENT REPR 2","55","Staff"
"1809","K to 14 ACAD PREP SPEC 4","55","Staff"
"1736","INSTRUCTIONAL DESIGNER 3","55","Acad Staff"
"3066","SR LECT-AY-CONTINUING","54","Unit 18"
"2556","PRODUCER DIR SR","54","Staff"
"3224","STORES WORKER","54","Staff"
"406","ASST PROJ SCIENTIST-FY NEX","54","Research"
"49","ACCESS REPR PD","54",""
"1257","EMPLOYEE SVC ASC","54",""
"2434","PHYS THER 3 NEX","54",""
"542","BIOMED EQUIP TCHN 2","53","Staff"
"926","COMPUTER RESC SPEC 1","53","Staff"
"964","CONTRACTS AND GRANTS SUPV 2","53","Staff"
"1489","FOOD SVC WORKER PRN","53","Staff"
"1726","INSTITUTIONAL RSCH ANL 3","53","Staff"
"1934","MAIL PROCESSOR","53","Staff"
"2493","POLICE SERGEANT SUPV 2","53","Staff"
"412","ASST RES-FY-B/E/E","53","Research"
"632","CARE SUPV 1","53","Med Center"
"2163","NUC MED TCHNO SR","53","Med Center"
"3368","TRAINER 4","53","Athletics"
"3172","STDT LIFE DEVT SUPV 1","53","Acad Staff"
"877","CNSLNG PSYCHOLOGIST 2 HX","53",""
"1749","INTERVENTIONAL RADLG TCHNO","53",""
"2282","PAT BILL AND COLL SUPV 1","53",""
"3128","STDT AFFAIRS OFCR 4 SUPV","53",""
"3249","SUPV TEACHER ED-AY","53",""
"1418","FINANCIAL ANL 5","52","Staff"
"2416","PHYS PLT LABORER GARDENER B","52","Staff"
"2946","RSCH CMPLNC ANL 4","52","Research Staff"
"243","ANESTHETIST NURSE SR PD","52","Med Center"
"2166","NURSE AID SR PD","52","Med Center"
"141","ADMIN SPEC SUPV","52",""
"1528","GI ENDOSCOPY TCHN 2","52",""
"1641","HOSP UNIT SVC CRD 2","52",""
"2338","PAT TRANSPORT TCHN 1","52",""
"2340","PAT TRANSPORT TCHN 2 PD","52",""
"1436","FINANCIAL SVC SUPV 1","51","Staff"
"3479","VISUAL COMM SPEC 4","51","Staff"
"1670","HS ASST CLIN PROF-AY","51","Non-Senate"
"762","CLIN INFORMATICS SPEC 3","51","Med Center"
"2023","MED CTR FOOD SVC WORKER SR PD","51","Med Center"
"3164","STDT LIFE DEV MGR 1","51","Acad Staff"
"1632","HOSP LAB TCHN 4","51",""
"535","BIOINFORMATICS PROGR 2","50","Staff"
"1355","FAC MGT SPEC 4","50","Staff"
"2076","MEDIA COMM SPEC 3","50","Staff"
"3108","STDT ACAD ADVISOR 4","50","Acad Staff"
"3406","ULTRASOUND TCHNO","50",""
"1858","LECT PSOE-AY-B/E/E","49","Teaching Track"
"159","ADMISSIONS RECRMT SPEC 4","49","Staff"
"857","CMTY EDUC SPEC 3","49","Staff"
"915","COMPENSATION ANL 3","49","Staff"
"2128","MUSEUM SCI AST","49","Staff"
"833","CLIN SOCIAL WORKER 2 PD","49","Med Center"
"20","ACAD PRG MGR 1","49","Acad Staff"
"3168","STDT LIFE DEV SPEC 1","49","Acad Staff"
"1134","DIETITIAN SR","49",""
"2283","PAT BILL AND COLL SUPV 2","49",""
"2720","RAD THER TCHNO","49",""
"2959","RSCH GNT PRG OFCR 3","49",""
"3135","STDT CAMP PRG ONSITE","49",""
"1368","FAC SUPV 1","48","Staff"
"1656","HR GENERALIST 4","48","Staff"
"2223","OPTOMETRIST 3","48","Staff"
"3319","TCHN PRN","48","Staff"
"422","ASST SPECIALIST COOP EXT","48","Research"
"215","AMBUL CARE ADMSTN MGR 2","48","Med Center"
"2380","PGY II PHARMACY RESID/NON REP","48","Med Center"
"2382","PHARMACIST 2 PD","48","Med Center"
"1076","DEAN AST","48","Admin Staff"
"1013","CURRICULUM PLNR 2","48",""
"3028","SPEAKER-UNEX","48",""
"906","COMM MGR 1","47","Staff"
"1424","FINANCIAL ANL SUPV 2","47","Staff"
"1782","IT SCRTY ANL 3","47","Staff"
"2699","QA RELEASE MGT ANL 3","47","Staff"
"96","ADJ INSTR-FY","47","Non-Senate"
"55","ACCOUNTANT 2 EX","47",""
"1379","FARM LABORER","47",""
"1812","K-12 INSTRUCTOR-AY","47",""
"2117","MRI TCHNO SR","47",""
"2371","PERSONNEL ANL","47",""
"3030","SPECIAL READER-UCLA-GSHIP","47",""
"3134","STDT CAMP PRG OFFSITE","47",""
"3161","STDT IT WKSTY","47",""
"3234","STUDENT RESEARCH ASSISTANT II","47",""
"3333","TEACHG FELLOW-NON GSHIP","46","Student Instruction"
"261","APPLICATIONS PROGR 1","46","Staff"
"2231","ORGANIZATIONAL CNSLT 3","46","Staff"
"3036","SPECIALIST NON REP","46","Research Staff"
"3193","STDT SVC SUPV 2","46","Acad Staff"
"996","CT TCHNO SR","46",""
"1091","DENTAL AST","46",""
"2214","OPS ROOM AST 2","46",""
"2469","PLNG SPEC 4","45","Staff"
"3034","SPECIALIST COOP EXT","45","Research"
"738","CLIN DOC SPEC 4","45","Med Center"
"699","CHILD DEV CTR TEACHER 2 LD","45",""
"716","CLERK PD","45",""
"1491","FOOD SVC WORKER SR PD","45",""
"3413","ULTRASOUND TCHNO SR PD","45",""
"605","BUS TCHL SUPP SUPV 2","44","Staff"
"955","CONTRACT ADM 4","44","Staff"
"1068","DATABASE ADM 4","44","Staff"
"1362","FAC PROJECT MGT SPEC 2","44","Staff"
"2772","RECR COACH 3","44","Athletics"
"117","ADMIN ANL SUPV NEX","44",""
"2265","PARKING REPR","44",""
"258","APPLICATIONS PROGM MGR 1","43","Staff"
"502","BEH HEALTH COUNSELOR 3","43","Staff"
"2433","PHYS THER 3 EX","43","Staff"
"3421","USHER","43","Staff"
"1818","LAB AST 4","43","Research Staff"
"2944","RSCH CMPLNC ANL 2","43","Research Staff"
"3464","VIS ASST RES","43","Research"
"102","ADJ PROF-AY-B/E/E","43","Non-Senate"
"222","AMBUL CARE PAT MGR 2","43","Med Center"
"2172","NURSE PRACT 1","43","Med Center"
"1322","EXEC ADVISOR 5","43","Admin Staff"
"4","ACAD ACHIEVEMENT CNSLR 2","43","Acad Staff"
"3154","STDT HEALTH PHYSCN 5","43","Acad Staff"
"1643","HOSP UNIT SVC CRD PD","43",""
"2901","RESP CARE SUPV 2","43",""
"3254","SURGICAL TCHN PRN","43",""
"543","BIOMED EQUIP TCHN 3","42","Staff"
"849","CMPTL AND DATA SCI RSCH SPEC 3","42","Staff"
"121","ADMIN AST 3","42","Admin Staff"
"3184","STDT SVC ADVISOR 1","42","Acad Staff"
"1202","EHS SPEC 2 EX","42",""
"1369","FAC SUPV 2","42",""
"1526","GI ENDOSCOPY TCHN 1","42",""
"2711","QLTY IMPV HC SPEC 3","42",""
"2909","REVENUE CYCLE HC ANL 1","42",""
"266","APPLICATIONS PROGR 5","41","Staff"
"633","CARE SUPV 2","41","Staff"
"960","CONTRACTS AND GRANTS MGR 1","41","Staff"
"967","CONVERSION JOB CODE","41","Staff"
"1348","FAC MGR 1","41","Staff"
"1408","FINANCIAL AID OFCR 2","41","Staff"
"1499","FUNDRAISING MGR 1","41","Staff"
"1774","IT ARCHITECT 4","41","Staff"
"2468","PLNG SPEC 3","41","Staff"
"2685","PUBLICATIONS PROD SPEC 2","41","Staff"
"2787","RECR SUPV 1","41","Staff"
"3198","STEAMFITTER","41","Staff"
"1826","LAB MECHN PRN","41","Research Staff"
"1575","HEALTH INFO CODER 3","41","Med Center"
"2170","NURSE CRD","41","Med Center"
"2395","PHARMACY SUPV 2","41","Med Center"
"889","COGEN OPR","41",""
"1035","CUSTODIAN SUPV","41",""
"1132","DIETITIAN PD","41",""
"1231","ELECTROCARDIOGRAPH TCHN SR","41",""
"1245","EMERGENCY TRAUMA TCHN PD","41",""
"1389","FIELD RESEARCHER 2","41",""
"1479","FOOD SVC MGR AST SUPV","41",""
"1519","GENETIC CNSLR 3 EX","41",""
"2311","PAT RCDS ABSTRACTOR 2","41",""
"2428","PHYS THER 1 NEX","41",""
"2498","POLYSOMNOGRAPHY TCHNO SR","41",""
"3446","VETERINARIAN 2","41",""
"3323","TEACHER-SPEC PROG-CONTINUING","40","Unit 18"
"1727","INSTITUTIONAL RSCH ANL 4","40","Staff"
"1969","MARKETING SPEC 4","40","Staff"
"2613","PROJECT POLICY ANL MGR 1","40","Staff"
"2777","RECR PRG INSTR 1","40","Staff"
"3447","VETERINARIAN 3","40","Staff"
"1839","LABOR REL REPR 4","40","Admin Staff"
"1146","DIRECTOR","40","Admin"
"3188","STDT SVC MGR 1","40","Acad Staff"
"56","ACCOUNTANT 3","40",""
"1488","FOOD SVC WORKER PD","40",""
"1543","GROUNDS EQUIP OPR","40",""
"2426","PHYS PLT SUPT SR","40",""
"2883","RESID PHYS I/REP-OV","40",""
"1556","GSR-TUIT & FEE REM-UCSD-GRP C","39","Student Reasearch"
"1254","EMPLOYEE REL REPR 4","39","Staff"
"1304","ETHICS AND CMPLNC PROFL 3","39","Staff"
"210","AMBUL CARE ADMSTN CRD 3","39","Med Center"
"1003","CTRL SVC TCHN 1 PD","39",""
"1042","CWSP-ON CAMPUS","39",""
"1086","DECISION SUPP SPEC 4","39",""
"1931","LW&R INTRUCTOR I","39",""
"3291","SYS OPR","39",""
"595","BUS SYS ANL MGR 1","38","Staff"
"1437","FINANCIAL SVC SUPV 2","38","Staff"
"730","CLIN APPLICATIONS SUPV 2","38","Med Center"
"782","CLIN LIC SOCIAL WORKER PD","38","Med Center"
"2037","MED CTR STOREKEEPER SR","38","Med Center"
"1093","DENTAL HYGIENIST","38",""
"1124","DIETETIC AST","38",""
"1547","GROUNDSKEEPER LD","38",""
"1762","IP OFCR 3","38",""
"2328","PAT SPECIALTY SVC TCHN","38",""
"2432","PHYS THER 2 PD","38",""
"3146","STDT EVENTS WKSTY","38",""
"3232","STUDENT (MISCELLANEOUS)","38",""
"598","BUS SYS ANL SUPV 2","37","Staff"
"1023","CUSTODIAL SUPV 2","37","Staff"
"1180","EDUC TCHL SPEC 3","37","Staff"
"1664","HR SUPV 2","37","Staff"
"2233","ORGANIZATIONAL CNSLT 5","37","Staff"
"2540","PROCUREMENT ANL 4","37","Staff"
"2783","RECR PRG LEADER 3 BYA","37","Staff"
"3285","SYS ADMSTN SUPV 2","37","Staff"
"337","ASSOC PROF-FY","37","Senate"
"2582","PROFESSOR OF LAW","37","Senate"
"823","CLIN RSCH CRD SR EX","37","Med Center"
"2389","PHARMACY MGR 1","37","Med Center"
"21","ACAD PRG MGR 2","37","Acad Staff"
"1110","DEV ENGR ASC","37",""
"2592","PROGR ANL 2 SOD","37",""
"3019","SOCIAL WORK ASC AST","37",""
"3177","STDT RECR WKSTY","36","Students"
"1557","GSR-TUIT & FEE REM-UCSD-GRP D","36","Student Reasearch"
"247","ANL 1","36","Staff"
"248","ANL 2","36","Staff"
"637","CAREER SVC SPEC 2","36","Staff"
"1429","FINANCIAL SVC ANL 4","36","Staff"
"2075","MEDIA COMM SPEC 2","36","Staff"
"2151","NON-PHYS CLIN TRAIN-GENL CAMP","36","Staff"
"3418","USER EXP DESIGNER 3","36","Staff"
"3256","SURVEY RESEARCHER 2","36","Research Staff"
"360","ASSOC SPECIALIST NEX","36","Research"
"303","ASSOC ADJ PROF-FY","36","Non-Senate"
"466","AUDIOLOGIST SR EX","36","Med Center"
"766","CLIN INSTR-VOL","36","Med Center"
"3120","STDT ADVISOR SUPV 2","36","Acad Staff"
"124","ADMIN CARE PARTNER","36",""
"1398","FIN ANL","36",""
"1983","MATERIALS MGT HC SPEC 3","36",""
"2376","PERSONNEL ANL SR","36",""
"2919","REVENUE CYCLE HC SUPV 2","36",""
"1218","ELECTR TCHN SR","35","Staff"
"224","AMBUL CARE PAT SUPV 1","35","Med Center"
"2002","MED CTR COOK PD","35","Med Center"
"2006","MED CTR CUSTODIAN PD","35","Med Center"
"2042","MED INTERPRETER 2","35","Med Center"
"885","COACH SPEC","35","Athletics"
"663","CATH LAB RADLG TCHNO","35",""
"2595","PROGR ANL 3 SUPV","35",""
"3230","STRAT SOURCING PROFL 4","35",""
"586","BUS INTEL SPEC 4","34","Staff"
"647","CARPENTER LOCKSMITH","34","Staff"
"1014","CURRICULUM PLNR 3","34","Staff"
"1305","ETHICS AND CMPLNC PROFL 4","34","Staff"
"1314","EVENTS SPEC 4","34","Staff"
"1501","FUNDRAISING MGR 3","34","Staff"
"1706","INFO SYS ANL 1","34","Staff"
"2035","MED CTR STOREKEEPER AST","34","Med Center"
"3366","TRAINER 2","34","Athletics"
"128","ADMIN MGR 4","34","Admin Staff"
"1894","LIBRARY AST 5","34",""
"1946","MAMMOGRAPHY TCHNO","34",""
"2294","PAT CARE TCHN","34",""
"3211","STIPEND-OTH POST-MD TRAIN","34",""
"3289","SYS INTEGRATION ENGR 4","34",""
"473","AUDIT PROFL 3","33","Staff"
"552","BLANK AST 3 PD","33","Staff"
"869","CMTY HEALTH PRG REPR SR","33","Staff"
"1310","EVENTS SPEC 1","33","Staff"
"1714","INFO SYS MGR 3","33","Staff"
"1827","LAB MECHN SR","33","Research Staff"
"2929","RSCH ADM 1","33","Research Staff"
"732","CLIN CARE PARTNER PD","33","Med Center"
"839","CLIN SPEC SUPV EX","33","Med Center"
"950","CONTINUING EDUCATOR II","33","Acad Staff"
"1744","INTERCOL ATH COACH AST EX","33",""
"1806","K to 14 ACAD PREP SPEC 1","33",""
"1920","LOCKSMITH","33",""
"474","AUDIT PROFL 4","32","Staff"
"954","CONTRACT ADM 3","32","Staff"
"1066","DATABASE ADM 3","32","Staff"
"1695","INDUSTRY ALLNS SPEC 3","32","Staff"
"1763","IP OFCR 4","32","Staff"
"97","ADJ INSTR-HCOMP","32","Non-Senate"
"6","ACAD ACHIEVEMENT CNSLR 4","32","Acad Staff"
"1903","LIBRARY SUPV 1","32","Acad Staff"
"1169","ECHOCARDIOGRAPHIC TCHN SR","32",""
"1469","FOOD SVC HC SUPV 1","32",""
"1795","K TO 12 EDUCATOR 1","32",""
"2791","RECR SUPV SR","32",""
"2807","REG DIETETIC TCHN","32",""
"947","CONTINUING APPT-TEMP AUG","31","Unit 18"
"547","BLANK AST 1 PD","31","Staff"
"559","BLDG MAINT WORKER LD","31","Staff"
"2125","MUSEUM PREPARATOR PRN","31","Staff"
"2603","PROJ SCIENTIST-FY NON REP","31","Research Staff"
"796","CLIN NURSE OR ADV PRACT SPEC 5","31","Med Center"
"1588","HEALTH PROFNS EDUC SPEC 4","31","Med Center"
"2185","NURSE SVC MGR 3","31","Med Center"
"3452","VICE CHAN AST","31","Admin"
"316","ASSOC FLD PROG SUPV","31","Acad Staff"
"58","ACCOUNTANT 4","31",""
"173","ADV OFCR 4","31",""
"1115","DEV ENGR SR","31",""
"1200","EHS SPEC 1 EX","31",""
"1426","FINANCIAL SVC ANL 1","31",""
"1474","FOOD SVC MGR","31",""
"1530","GI ENDOSCOPY TCHN 3","31",""
"1828","LAB PROCESSING SUPV 1","31",""
"2211","OPHTHALMIC TCHN 2","31",""
"2275","PAT ACCESS SVC SUPV 1","31",""
"2285","PAT BILLER 2","31",""
"2421","PHYS PLT MECH SR","31",""
"2647","PUBL ADMSTN ANL PRN SUPV","31",""
"3261","SURVEY WORKER","31",""
"3382","TRANSPLANT CRD 3","31",""
"188","AGRICULTURAL TCHN SR","30","Staff"
"251","ANL 4","30","Staff"
"485","AUTO TCHN","30","Staff"
"2258","PARKING AST","30","Staff"
"403","ASST PROJ SCI-FY NON REP","30","Research"
"720","CLIN APPLICATIONS MGR 1","30","Med Center"
"768","CLIN LAB MGR 1","30","Med Center"
"1324","EXEC ADVISOR MGR 2","30","Admin Staff"
"48","ACCESS REPR","30",""
"990","COURSE AUTHOR-UNEX","30",""
"1147","DIRECTOR I","30",""
"1478","FOOD SVC MGR AST","30",""
"1598","HISTO TCHNO 1","30",""
"2116","MRI TCHNO PD","30",""
"2191","OCCUPATIONAL THER 1 NEX","30",""
"2448","PHYSCN DIPLOMATE SR","30",""
"2617","PROJECT POLICY ANL SUPV 2","30",""
"3288","SYS INTEGRATION ENGR 3","30",""
"3094","STDT 2 ANR","29","Students"
"162","ADMISSIONS RECRMT SUPV 2","29","Staff"
"594","BUS SYS ANL 5","29","Staff"
"1059","DATA SYS MGR 1","29","Staff"
"1264","EMPLOYMENT REPR 4","29","Staff"
"2262","PARKING OPS ENFORCEMENT SUPV 1","29","Staff"
"2348","PAYROLL ANL 3","29","Staff"
"3311","TCHL PROJECT MGT PROFL 2","29","Staff"
"2563","PROF EMERITUS(WOS)","29","Senate"
"1675","HS CLIN INSTR-FY","29","Non-Senate"
"30","ACADEMIC ADMINISTRATOR III","29","Admin"
"34","ACADEMIC ADMINISTRATOR VI","29","Admin"
"1018","CUSTODIAL HC SUPV 1","29",""
"1503","GARDENER GROUNDSKEEPER","29",""
"2138","MUSICIAN PRN","29",""
"2634","PSYCHIATRIC TCHN SR","29",""
"2907","RET CUSTOMER SVC REPR 1","29",""
"2961","RSCH GNT PRG OFCR 4","29",""
"3022","SOCIAL WORK HC SUPV 2","29",""
"1862","LECT SOE-AY-B/E/E","28","Teaching Track"
"11","ACAD HR ANL 1","28","Staff"
"512","BEH HEALTH PSYCHIATRIC SUPV 2","28","Staff"
"1196","EHS MGR 1","28","Staff"
"1213","EHS TCHN PRN","28","Staff"
"2553","PRODUCER DIR","28","Staff"
"2696","QA CHEF 3","28","Staff"
"3517","WRITER SR","28","Staff"
"415","ASST RES-FY-NON REP","28","Research"
"241","ANESTHETIST NURSE SR EX","28","Med Center"
"775","CLIN LAB SCI SPEC PD","28","Med Center"
"2019","MED CTR FOOD SVC WORKER PD","28","Med Center"
"449","ATH PROFL 3","28","Athletics"
"953","CONTRACT ADM 2","28",""
"1481","FOOD SVC MGR SR","28",""
"1796","K TO 12 EDUCATOR 2","28",""
"2104","MGT SVC OFCR 1 SUPV","28",""
"2153","NOTETAKER I - DISABLED STDNTS","28",""
"2192","OCCUPATIONAL THER 1 PD","28",""
"3076","SRA 5","28",""
"3126","STDT AFFAIRS OFCR 3 SUPV","28",""
"3353","TEMPORARY HELP","28",""
"3099","STDT 3 NON UC","27","Students"
"186","AGRICULTURAL TCHN","27","Staff"
"1294","ENTERPRISE RISK MGT ANL 4","27","Staff"
"1366","FAC PROJECT MGT SPEC 5","27","Staff"
"3220","STOREKEEPING SUPV 1","27","Staff"
"395","ASST PROF OF CLIN-SFT-VM","27","Senate"
"346","ASSOC PROJ SCIENTIST-FY-B/E/E","27","Research"
"232","ANESTHESIA TCHN","27","Med Center"
"238","ANESTHETIST NURSE","27","Med Center"
"727","CLIN APPLICATIONS PROFL 3 GF","27","Med Center"
"1323","EXEC ADVISOR MGR 1","27","Admin Staff"
"37","ACADEMIC COORD I-AY","27","Acad Staff"
"952","CONTINUING EDUCATOR III","27","Acad Staff"
"2820","REGISTRAR SPEC 3","27","Acad Staff"
"187","AGRICULTURAL TCHN PRN","27",""
"1187","EEG TCHNO PRN","27",""
"1319","EXAMING PHYSCN","27",""
"2210","OPHTHALMIC TCHN 1","27",""
"2535","PROCTOR","27",""
"2536","PROCTOR SR","27",""
"2670","PUBL EVENTS MGR SR","27",""
"2803","REFRIGERATION MECH","27",""
"2819","REGISTRAR SPEC 2","27",""
"3073","SRA 3 SUPV","27",""
"3269","SVC ENGR","27",""
"3331","TEACHG ASST-NON GSHIP/NON REP","26","Student Instruction"
"972","COOK PRN","26","Staff"
"1410","FINANCIAL AID OFCR 4","26","Staff"
"87","ACT PROF-AY-LAW","26","Senate"
"777","CLIN LAB SCI SPEC SUPV SR EX","26","Med Center"
"1591","HEALTH PROFNS EDUC SUPV 2","26","Med Center"
"2406","PHLEBOTOMIST CERT TCHN 2 PD","26","Med Center"
"385","ASST LIBRARIAN-POTNTL CAREER","26","Acad Staff"
"3113","STDT ACAD SPEC 4","26","Acad Staff"
"54","ACCOUNTANT 1","26",""
"931","COMPUTING RESC MGR 3","26",""
"1155","DISCUSSION GROUP LEADER","26",""
"1601","HISTO TCHNO 3","26",""
"1760","IP OFCR 2","26",""
"1910","LINEN SVC WORKER","26",""
"2109","MGT SVC OFCR 4","26",""
"2373","PERSONNEL ANL PRN","26",""
"2635","PSYCHOLOGIST 1","26",""
"2649","PUBL ADMSTN ANL SR SUPV","26",""
"2765","RECORDS ANL 2","26",""
"2899","RESP CARE SPEC 4","26",""
"2902","RESP THER 1","26",""
"2964","RSDT ADVISOR","26",""
"3087","STATISTICIAN SR","26",""
"3105","STDT ACAD ADVISOR 1","26",""
"3235","STUDENT RESEARCH ASSISTANT III","26",""
"206","ALUMNI EXTERNAL REL SPEC 5","25","Staff"
"275","ARTIST","25","Staff"
"492","BAKER","25","Staff"
"534","BIOINFORMATICS PROGR 1","25","Staff"
"860","CMTY EDUC SUPV 2","25","Staff"
"896","COMM AND NETWORK TCHL ANL 2","25","Staff"
"1214","EHS TCHN SR","25","Staff"
"1432","FINANCIAL SVC MGR 1","25","Staff"
"1767","IRRIGATION MECH","25","Staff"
"2939","RSCH AND DEV ENGR 5","25","Research Staff"
"3035","SPECIALIST NEX","25","Research"
"826","CLIN RSCH MGR 1","25","Med Center"
"1583","HEALTH PROFNS EDUC MGR 1","25","Med Center"
"2178","NURSE PRACT SUPV 2","25","Med Center"
"33","ACADEMIC ADMINISTRATOR V","25","Admin"
"1890","LIBRARY AST 2","25","Acad Staff"
"3117","STDT ADVISOR MGR 1","25","Acad Staff"
"131","ADMIN NURSE 3","25",""
"939","CONST INSP 4","25",""
"1930","LVN SUPV 1","25",""
"2291","PAT CARE DIALYSIS TCHN 2","25",""
"2319","PAT REL PROFL 2","25",""
"2440","PHYS THER AST 2","25",""
"2641","PSYCHOMETRIST","25",""
"3044","SPEECH PATHOLOGIST SR EX","25",""
"153","ADMISSIONS RECRMT MGR 1","24","Staff"
"497","BEH HEALTH CNSLNG MGR 1","24","Staff"
"1121","DEV TCHN 5","24","Staff"
"1197","EHS MGR 2","24","Staff"
"1359","FAC PROJECT MGR 2","24","Staff"
"1596","HIGH VOLT ELECTRN","24","Staff"
"1696","INDUSTRY ALLNS SPEC 4","24","Staff"
"1700","INFECTION PREVENTION CRD 3","24","Staff"
"2122","MUSEUM EDUCATOR 2","24","Staff"
"2488","POLICE LIEUTENANT MGR 1","24","Staff"
"2655","PUBL EDUC SPEC 1","24","Staff"
"2788","RECR SUPV 2","24","Staff"
"3307","TCHL PROJECT MGR 1","24","Staff"
"3352","TELEVISION TCHN SR","24","Staff"
"3522","ZONE MECH","24","Staff"
"2871","RES-FY-B/E/E-NON REP","24","Research Staff"
"2934","RSCH ADM 5","24","Research Staff"
"2021","MED CTR FOOD SVC WORKER PRN PD","24","Med Center"
"2404","PHLEBOTOMIST CERT 1 PD","24","Med Center"
"448","ATH PROFL 2 BYA","24","Athletics"
"460","ATH TRAINER PD","24","Athletics"
"1737","INSTRUCTIONAL DESIGNER 4","24","Acad Staff"
"1904","LIBRARY SUPV 2","24","Acad Staff"
"311","ASSOC COOP EXT ADVISOR","24",""
"1038","CUSTOMER SVC REPR 3","24",""
"1413","FINANCIAL ANL 1","24",""
"1906","LIFT TEAM TCHN 2","24",""
"2300","PAT ESCORT PD","24",""
"2430","PHYS THER 2 EX","24",""
"2848","REHAB SVC SUPV 2","24",""
"3083","STATISTICIAN","24",""
"3203","STERILE PROCESSING TCHN 2 PD","24",""
"259","APPLICATIONS PROGM MGR 2","23","Staff"
"1009","CURATOR 4","23","Staff"
"1349","FAC MGR 2","23","Staff"
"1659","HR MGR 1","23","Staff"
"3397","TRUCK DRIVER","23","Staff"
"1391","FIELD RESEARCHER 4","23","Research Staff"
"2604","PROJ SCIENTIST-FY-B/E/E","23","Research"
"1590","HEALTH PROFNS EDUC SUPV 1","23","Med Center"
"2041","MED INTERPRETER 1","23","Med Center"
"3451","VICE CHAN ASC","23","Admin"
"1084","DECISION SUPP SPEC 3","23",""
"1112","DEV ENGR AST","23",""
"1159","DOSIMETRIST SR","23",""
"2196","OCCUPATIONAL THER 2 PD","23",""
"2335","PAT SUPP SVC SUPV 1","23",""
"2675","PUBL INFO REPR SR","23",""
"2912","REVENUE CYCLE HC ANL 4","23",""
"3045","SPEECH PATHOLOGIST SR NEX","23",""
"3201","STERILE PROCESSING TCHN 1 PD","23",""
"65","ACCOUNTING MGR 1","22","Staff"
"581","BUS DEV HC PROFL 4","22","Staff"
"584","BUS INTEL SPEC 2","22","Staff"
"963","CONTRACTS AND GRANTS SUPV 1","22","Staff"
"971","COOK PD","22","Staff"
"1170","EDITOR","22","Staff"
"1306","ETHICS AND CMPLNC PROFL 5","22","Staff"
"1476","FOOD SVC MGR 2","22","Staff"
"1571","HEALTH EDUCATOR 4","22","Staff"
"1848","LANDSCAPE GROUNDS SUPV 1","22","Staff"
"2077","MEDIA COMM SPEC 4","22","Staff"
"2700","QA RELEASE MGT ANL 4","22","Staff"
"2572","PROF OF CLIN-SFT-VM","22","Senate"
"341","ASSOC PROJ SCI-FY NON REP","22","Research Staff"
"2762","RECALL TEACHING NON-SENATE","22","Non-Senate"
"216","AMBUL CARE ADMSTN MGR 3","22","Med Center"
"812","CLIN REGIS ANL 2","22","Med Center"
"1325","EXEC ADVISOR MGR 3","22","Admin Staff"
"1652","HR AST 3","22","Admin Staff"
"1007","CTRL UTILITY PLT OPR","22",""
"1628","HOSP LAB TCHN 2 PD","22",""
"2139","MUSICIAN SR","22",""
"2290","PAT CARE DIALYSIS TCHN 1","22",""
"2623","PROSPECT RSCH SPEC 3","22",""
"611","BUYER 4","21","Staff"
"1216","ELECTR TCHN","21","Staff"
"1232","ELEVATOR MECH","21","Staff"
"2135","MUSICIAN 2","21","Staff"
"2266","PARKING REPR LD","21","Staff"
"340","ASSOC PROF-SFT-VM","21","Senate"
"2579","PROF-FY-B/E/E","21","Senate"
"411","ASST RES-FY NEX","21","Research"
"3474","VIS RES","21","Research"
"626","CARDIOVASCULAR TCHN","21","Med Center"
"721","CLIN APPLICATIONS MGR 2","21","Med Center"
"1996","MED AST PD","21","Med Center"
"142","ADMIN STIPEND","21","Admin"
"3453","VICE PROVOST","21","Admin"
"170","ADV OFCR 1","21",""
"1113","DEV ENGR JR","21",""
